line_item,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,9767.15059706553,17760.7988831763,28255.2938465348,50341.675609832,80631.5916051813,70488.0809634396,74323.1399913828,100713.498567613,83811.8177886478,97754.6900416123,109170.180532602,100248.386201043,100149.349571695,148698.541015611,149484.176053715,138381.683940375,143862.227566156,150673.827366956
Economic depreciation,327.47044738752,388.349661571093,510.631528192036,781.458407427343,1319.09488201325,1847.74253809549,2469.68395488556,3201.00669226487,4037.31774904262,4850.46428418494,5712.16779196805,6374.27263153122,6831.81171940967,7524.68126026702,8154.3780384167,8773.35250900407,9270.39612531697,9939.59184635794
Economic OI (pretax),9439.68014967801,17372.4492216052,27744.6623183428,49560.2172024047,79312.4967231681,68640.3384253441,71853.4560364972,97512.4918753484,79774.5000396052,92904.2257574273,103458.012740634,93874.1135695116,93317.5378522855,141173.859755344,141329.798015298,129608.33143137,134591.831440839,140734.235520598
Economic OI-after-tax,6618.04647677746,11856.6271039487,20970.1093967614,37558.8141251048,59357.3932351223,50687.5265505338,53080.9502589459,71800.1054801809,59386.2917409832,70090.1995593047,84481.5371277211,78907.0126502158,79853.4968558821,122394.489409108,118428.010895909,110531.021911324,102167.044144764,118765.621355833
NFE after-tax (real),676.578786969434,347.551960196181,180.048349637822,468.561112545579,570.226507818994,144.473788589001,401.570851414436,763.121238305282,1513.43515590202,2396.05357838249,3530.92181366732,3940.1595615789,3183.37497425195,2836.06562806693,2812.44994565586,3688.96166741693,0,0
Economic NI,5941.46768980802,11509.0751437525,20790.0610471236,37090.2530125592,58787.1667273033,50543.0527619448,52679.3794075315,71036.9842418757,57872.8565850812,67694.1459809222,80950.6153140538,74966.8530886369,76670.1218816301,119558.423781042,115615.560950254,106842.060243907,102167.044144764,118765.621355833
OCI (real),12.4521441874939,131.214345311065,-70.695867116704,659.998884141923,728.35691263709,-677.562524414377,1531.67699885104,-487.802288443445,885.257438324716,-205.076901109661,-4609.64784733201,-765.525027673797,-525.711573310254,201.590762815072,-12721.0586082589,-12595.3508542773,-7662.05431494251,-5799.07074544252
Comprehensive income,5953.91983399552,11640.2894890636,20719.3651800069,37750.2518967011,59515.5236399404,49865.4902375304,54211.0564063825,70549.1819534322,58758.1140234059,67489.0690798125,76340.9674667218,74201.3280609631,76144.4103083198,119760.014543857,102894.502341995,94246.70938963,94504.9898298213,112966.55061039
